corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-deu	DEU014	DEU014	Tieck, Ludwig	Vittoria Accorombona	1773	1853	M	http://d-nb.info/gnd/12989432X	1840	1840	NA	1963	NA	NA	de	123077	NA	NA	long	high	T1
ELTeC-deu	DEU015	DEU015	Arnim, Bettina von	Die Günderode	1785	1859	F	http://d-nb.info/gnd/118504185	1840	1840	NA	1959	NA	NA	de	176011	NA	NA	long	high	T1
ELTeC-deu	DEU007	DEU007	Stifter, Adalbert	Die Mappe meines Urgroßvaters	1805	1868	M	http://d-nb.info/gnd/118618156	1841	1841	NA	1959	NA	NA	de	82220	NA	NA	medium	high	T1
ELTeC-deu	DEU023	DEU023	Stifter, Adalbert	Feldblumen	1805	1868	M	http://d-nb.info/gnd/118618156	1841	1841	NA	1959	NA	NA	de	43934	NA	NA	short	high	T1
ELTeC-deu	DEU017	DEU017	Stifter, Adalbert	Die Narrenburg	1805	1868	M	http://d-nb.info/gnd/118618156	1843	1843	NA	1959	NA	NA	de	41879	NA	NA	short	unspecified	T1
ELTeC-deu	DEU021	DEU021	Lewald, Fanny	Jenny	1811	1889	F	http://d-nb.info/gnd/118572393	1843	1843	NA	1872	NA	NA	de	111473	NA	NA	long	low	T1
ELTeC-deu	DEU022	DEU022	Arnim, Bettina von	Clemens Brentanos Frühlingskranz	1785	1859	F	http://d-nb.info/gnd/118572393	1844	1844	NA	1959	NA	NA	de	108645	NA	NA	long	high	T1
ELTeC-deu	DEU001	DEU001	Willkomm, Ernst Adolf	Weisse Sclaven oder die Leiden des Volkes	1810	1886	M	http://d-nb.info/gnd/11739467X	1845	1845	NA	1845	NA	NA	de	322371	NA	NA	long	low	T1
ELTeC-deu	DEU018	DEU018	Schopenhauer, Adele	Anna	1797	1849	F	http://d-nb.info/gnd/11880510X	1845	1845	NA	1845	NA	NA	de	105286	NA	NA	long	low	T1
ELTeC-deu	DEU016	DEU016	Gerstäcker, Friedrich	Die Regulatoren in Arkansas. Aus dem Waldleben Amerikas	1816	1872	M	http://d-nb.info/gnd/118538810	1846	1846	NA	NA	NA	NA	de	183061	NA	NA	long	low	T1
