,ID,Titel,Autor,Jahr
6,deu001,Clementine,"Lewald, Fanny",1842
17,deu002,Weisse Sclaven oder die Leiden des Volkes,"Willkomm, Ernst Adolf",1845
26,deu003,Aus dem Leben einer Frau,"Aston, Louise",1847
28,deu004,Lydia,"Aston, Louise",1848
31,deu005,Revolution und Contrerevolution,"Aston, Louise",1849
34,deu006,Die Ritter vom Geiste,"Gutzkow, Karl",1850
35,deu007,Ruhe ist die erste Bürgerpflicht,"Alexis, Willibald",1852
40,deu008,Europäisches Sklavenleben,"Hackländer, Friedrich Wilhelm von",1854
41,deu009,Der grüne Heinrich1 [Erste Fassung],"Keller, Gottfried",1854
43,deu010,Soll und Haben,"Freytag, Gustav",1855
44,deu011,Sebastopol,"Goedsche, Herrmann",1855
50,deu012,Die Chronik der Sperlingsgasse,"Raabe, Wilhelm",1857
52,deu013,Der Nachsommer,"Stifter, Adalbert",1857
58,deu014,Maria Regina,"Hahn-Hahn, Ida Gräfin von",1860
64,deu015,Die verlorene Handschrift,"Freytag, Gustav",1864
75,deu016,Hammer und Amboß,"Spielhagen, Friedrich",1869
76,deu017,Die letzte Reckenburgerin,"François, Louise von",1871
78,deu018,Die Ahnen,"Freytag, Gustav",1872
80,deu019,Kampf um Rom,"Dahn, Felix",1876
83,deu020,Stufenjahre eines Glücklichen,"François, Louise von",1877
86,deu021,Der Katzenjunker,"François, Louise von",1879
92,deu022,"Lotti, die Uhrmacherin","Ebner-Eschenbach, Marie von",1880
100,deu023,Schach von Wuthenow,"Fontane, Theodor",1882
107,deu024,Das Gemeindekind,"Ebner-Eschenbach, Marie von",1887
108,deu025,Im alten Eisen,"Raabe, Wilhelm",1887
111,deu026,Die Versuchung des Pescara,"Meyer, Conrad Ferdinand",1887
113,deu027,Größenwahn,"Bleibtreu, Karl",1888
118,deu028,Ein kleiner Roman,"Ebner-Eschenbach, Marie von",1889
126,deu029,Stopfkuchen. Eine See- und Mordgeschichte,"Raabe, Wilhelm",1891
132,deu030,Effi Briest,"Fontane, Theodor",1894
133,deu031,Old Surehand I,"May, Karl",1894
139,deu032,Sibilla Dalmar,"Dohm, Hedwig",1896
140,deu033,Im Lande des Mahdi I,"May, Karl",1896
147,deu034,Der Stechlin,"Fontane, Theodor",1897
162,deu035,Schicksale einer Seele,"Dohm, Hedwig",1899
169,deu036,Christa Ruland,"Dohm, Hedwig",1902
185,deu037,Dumala,"Keyserling, Eduard von",1907
194,deu038,Wellen,"Keyserling, Eduard von",1911
203,deu039,Mathias Bichler,"Christ, Lena",1914
204,deu040,Abendliche Häuser,"Keyserling, Eduard von",1914
212,deu041,Die Rumplhanni,"Christ, Lena",1916
218,deu042,Casanovas Heimfahrt,"Schnitzler, Arthur",1918
220,deu043,Christian Wahnschaffe,"Wassermann, Jakob",1919
221,deu044,Madam Bäurin,"Christ, Lena",1920
